% Model,comsolvalidasi.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.201,,,,,,,,,,,,,,,
% Date,"May 6 2020, 09:08",,,,,,,,,,,,,,,
% Dimension,3,,,,,,,,,,,,,,,
% Nodes,5517,,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,,
% Description,"Temperature, Pressure, Thermal conductivity, xx component, Heat capacity at constant pressure, Dynamic viscosity, Density, Mass flow",,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,
% X,Y,Z,T (degC) @ t=0,p (psi) @ t=0,ht.kxx (W/(m*K)) @ t=0,ht.Cp (J/(kg*K)) @ t=0,dl.mu (kg/(m*s)) @ t=0,dl.rho (kg/m^3) @ t=0,dl.pr1.Mflow (kg/s) @ t=0,T (degC) @ t=77,p (psi) @ t=77,ht.kxx (W/(m*K)) @ t=77,ht.Cp (J/(kg*K)) @ t=77,dl.mu (kg/(m*s)) @ t=77,dl.rho (kg/m^3) @ t=77,dl.pr1.Mflow (kg/s) @ t=77
982.8413099,-18.40207912,18.19342638,38.889,1627.999201,0.049113506,2.337273589,1.72E-05,123.8304103,-13689.88059,38.889,2683.224743,0.040014871,2.590584798,2.38E-05,215.1245478,-0.189058827
985.2149078,-21.66900153,24.22198118,38.889,1627.9989,0.049113509,2.337273517,1.72E-05,123.8303842,-13689.88059,38.889,2683.222188,0.040014893,2.590584185,2.38E-05,215.1243267,-0.189058827
977.2018095,-23.915491,22.006801,38.889,1627.999637,0.049113502,2.337273694,1.72E-05,123.830448,-13689.88059,38.889,2683.230815,0.040014819,2.590586256,2.38E-05,215.1250731,-0.189058827
978.6648162,-29.18855156,14.29260152,38.889,1627.999556,0.049113503,2.337273674,1.72E-05,123.830441,-13689.88059,38.889,2683.22924,0.040014832,2.590585877,2.38E-05,215.1249368,-0.189058827
979.9619942,-16.03929909,28.26642681,38.889,1627.999462,0.049113504,2.337273652,1.72E-05,123.8304329,-13689.88059,38.889,2683.227843,0.040014844,2.590585542,2.38E-05,215.124816,-0.189058827
992.6192511,6.239822691,-21.26072832,38.889,1627.997086,0.049113524,2.337273082,1.72E-05,123.8302273,-13689.88059,38.889,2683.214216,0.040014962,2.590582271,2.38E-05,215.123637,-0.189058827
1000,6.155737039,-16.96959809,38.889,1627.992935,0.04911356,2.337272085,1.72E-05,123.8298682,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
990.5751187,17.94488819,-12.80276255,38.889,1627.997746,0.049113519,2.33727324,1.72E-05,123.8302844,-13689.88059,38.889,2683.216417,0.040014943,2.590582799,2.38E-05,215.1238274,-0.189058827
984.1002167,23.26898583,-16.11946937,38.889,1627.999047,0.049113507,2.337273552,1.72E-05,123.8303969,-13689.88059,38.889,2683.223388,0.040014883,2.590584473,2.38E-05,215.1244305,-0.189058827
979.940868,28.15787921,-16.22910467,38.889,1627.999465,0.049113504,2.337273653,1.72E-05,123.8304331,-13689.88059,38.889,2683.227866,0.040014844,2.590585548,2.38E-05,215.1248179,-0.189058827
989.1636738,14.72375961,-21.74772242,38.889,1627.998135,0.049113515,2.337273333,1.72E-05,123.830318,-13689.88059,38.889,2683.217936,0.04001493,2.590583164,2.38E-05,215.1239588,-0.189058827
987.2985216,16.27158204,-28.13335419,38.889,1627.998546,0.049113512,2.337273432,1.72E-05,123.8303536,-13689.88059,38.889,2683.219944,0.040014912,2.590583646,2.38E-05,215.1241326,-0.189058827
989.9043185,-4.940432977,-22.20901324,38.889,1627.997943,0.049113517,2.337273287,1.72E-05,123.8303014,-13689.88059,38.889,2683.217139,0.040014936,2.590582973,2.38E-05,215.1238898,-0.189058827
993.189118,-15.87780353,-17.33213865,38.889,1627.996868,0.049113526,2.337273029,1.72E-05,123.8302084,-13689.88059,38.889,2683.213602,0.040014967,2.590582124,2.38E-05,215.1235839,-0.189058827
994.4680148,-15.25677384,-8.192958213,38.889,1627.996326,0.049113531,2.337272899,1.72E-05,123.8301615,-13689.88059,38.889,2683.212225,0.040014979,2.590581793,2.38E-05,215.1234647,-0.189058827
1000,-10.07553833,-12.64021741,38.889,1627.992974,0.04911356,2.337272094,1.72E-05,123.8298715,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-1.973684258,-18.88242546,38.889,1627.992973,0.04911356,2.337272094,1.72E-05,123.8298715,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
988.9360297,-20.43800936,-3.745699016,38.889,1627.998178,0.049113515,2.337273344,1.72E-05,123.8303217,-13689.88059,38.889,2683.218181,0.040014927,2.590583223,2.38E-05,215.12398,-0.189058827
